run_id,launched_at,system,level,arm,predictor,score_mode,d2_ratio,seed,n_members,k_acq,cluster,job_id,status,epochs_on_disk,dir_state,code_hash,output_dir,notes
fm_high_i100_epi_var_yield_s43,2026-08-16T07:43:31,pendulum,high,epi_var_yield_s43,fm,,1.0,43,5,20,ilab,209953,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_yield_s43,"Seed replication of the yield-aware arm. Seed 42 pooled ep15-19 beat the control on all three metrics (sAUROC .9803 vs .9785, KL .0209 vs .0525, recal .00126 vs .00324) at 0.9-1.3x the 3-seed floor - suggestive but not claimable from one seed. These two seeds make the win testable against the same 3-seed standard the control was held to."
fm_high_i100_epi_var_yield_s44,2026-08-16T07:43:31,pendulum,high,epi_var_yield_s44,fm,,1.0,44,5,20,ilab,209954,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_yield_s44,"Seed replication of the yield-aware arm. Seed 42 pooled ep15-19 beat the control on all three metrics (sAUROC .9803 vs .9785, KL .0209 vs .0525, recal .00126 vs .00324) at 0.9-1.3x the 3-seed floor - suggestive but not claimable from one seed. These two seeds make the win testable against the same 3-seed standard the control was held to."
fm_high_i100_epi_var_qknn2,2026-08-16T00:09:35,pendulum,high,epi_var_qknn2,fm,,1.0,42,5,20,ilab,209585,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_epi_var_qknn2,"Relaunch of the class-quota arm with the label-convention fix. 209584 imported the buggy class at parent startup (get_label returns {-1,+1} but the code tested ==0 for failure), so its gate can never turn on and it is a duplicate of epi_var; the strategy object is built once in the parent, NOT re-imported per epoch like mp.spawn trainer children. Fix normalises labels to {0,1} in _acquired_truth; regression test added."
fm_high_i100_epi_var_qknn,2026-08-15T23:50:20,pendulum,high,epi_var_qknn,fm,,1.0,42,5,20,ilab,209584,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_epi_var_qknn,"Class-quota epi_var: kNN on ACQUIRED ground-truth labels splits candidates into predicted-fail/succ pots, quota_fail=pool tracks the measured class marginal, top-epi_var within each pot. p_bar appears nowhere in the composition path - that is the fix, since the p_bar->true-p gap on acquired batches plateaus at ~0.27-0.30 from ep8-19 and never closes. Ep0 gate: gate_on, realized pairs>=45k, fail fraction>=0.45. Falsifier: pairs<30k or fail-pot precision<0.75."
fm_high_i100_dir00_s43,2026-08-15T23:26:24,pendulum,high,dir00_s43,fm,,0.0,43,5,20,ilab,209579,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_dir00_s43,"Floor seed 2 of 3 for the i100 pendulum sweep. Required before any beats-uniform claim: the single-seed control wobble (max|d| sAUROC .0027, KL .0723, recal .0023 over ep3-9) is comparable to the arm gaps."
fm_high_i100_dir00_s44,2026-08-15T23:26:24,pendulum,high,dir00_s44,fm,,0.0,44,5,20,ilab,209580,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_dir00_s44,Floor seed 3 of 3 for the i100 pendulum sweep.
fm_high_i100_epi_var_anch,2026-08-15T23:26:24,pendulum,high,epi_var_anch,fm,,0.5,42,5,20,ilab,209581,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_epi_var_anch,Arm 1: epi_var with d2_ratio=0.5 (50 uniform + 50 scored). Targets the pair-yield deficit by restoring uniform's failure-basin coverage. Readout at shared depth 9: cum pairs >=350k AND KL <=0.12 AND sAUROC >=0.973.
fm_high_i100_epi_var_yield,2026-08-15T23:26:24,pendulum,high,epi_var_yield,fm,,1.0,42,5,20,ilab,209582,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_epi_var_yield,"Arm 2: NEW yield_aware strategy, score*E[L]^alpha with E[L]=p_bar*L_succ+(1-p_bar)*L_fail estimated online from acquired trajectories. Ranks informativeness per trajectory purchased. alpha=0 reduces exactly to decomp_epi_var. Readout: batch succ<=0.6, cum pairs>=300k, KL in dir00 band [0.06,0.18]."
fm_high_i100_epi_bald,2026-08-15T19:06:32,pendulum,high,epi_bald,fm,,1.0,42,5,20,ilab,209218,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_epi_bald,"RESTART with adaptive_v2.filter_confident_pairs=false; the ConfidencePairFilter discarded 58-97% of new pairs per epoch (control hit hardest at 96.8%) and confounded the pair-budget comparison. Filter-ON data preserved at fm_high_i100_<arm>_filtON. init=100 step=100 n_epochs=20, pendulum noisy/lqr/high."
fm_high_i100_dir00,2026-08-15T19:06:31,pendulum,high,dir00,fm,,0.0,42,5,20,ilab,209215,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_dir00,"RESTART with adaptive_v2.filter_confident_pairs=false; the ConfidencePairFilter discarded 58-97% of new pairs per epoch (control hit hardest at 96.8%) and confounded the pair-budget comparison. Filter-ON data preserved at fm_high_i100_<arm>_filtON. init=100 step=100 n_epochs=20, pendulum noisy/lqr/high."
fm_high_i100_epi_var,2026-08-15T19:06:31,pendulum,high,epi_var,fm,,1.0,42,5,20,ilab,209217,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_epi_var,"RESTART with adaptive_v2.filter_confident_pairs=false; the ConfidencePairFilter discarded 58-97% of new pairs per epoch (control hit hardest at 96.8%) and confounded the pair-budget comparison. Filter-ON data preserved at fm_high_i100_<arm>_filtON. init=100 step=100 n_epochs=20, pendulum noisy/lqr/high."
fm_high_i100_total,2026-08-15T19:06:31,pendulum,high,total,fm,,1.0,42,5,20,ilab,209216,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_total,"RESTART with adaptive_v2.filter_confident_pairs=false; the ConfidencePairFilter discarded 58-97% of new pairs per epoch (control hit hardest at 96.8%) and confounded the pair-budget comparison. Filter-ON data preserved at fm_high_i100_<arm>_filtON. init=100 step=100 n_epochs=20, pendulum noisy/lqr/high."
fm_high_i100_dir00,2026-08-15T17:59:45,pendulum,high,dir00,fm,,0.0,42,5,20,ilab,209179,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_dir00,init=100 step=100 n_epochs=20 (train sizes 100..2000); pendulum noisy/lqr/high; per-epoch uncertainty maps via _uncertainty_maps (--level high --arms i100_*)
fm_high_i100_epi_bald,2026-08-15T17:59:45,pendulum,high,epi_bald,fm,,1.0,42,5,20,ilab,209182,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_epi_bald,init=100 step=100 n_epochs=20 (train sizes 100..2000); pendulum noisy/lqr/high; per-epoch uncertainty maps via _uncertainty_maps (--level high --arms i100_*)
fm_high_i100_epi_var,2026-08-15T17:59:45,pendulum,high,epi_var,fm,,1.0,42,5,20,ilab,209181,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_epi_var,init=100 step=100 n_epochs=20 (train sizes 100..2000); pendulum noisy/lqr/high; per-epoch uncertainty maps via _uncertainty_maps (--level high --arms i100_*)
fm_high_i100_total,2026-08-15T17:59:45,pendulum,high,total,fm,,1.0,42,5,20,ilab,209180,launched,20,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_high_i100_total,init=100 step=100 n_epochs=20 (train sizes 100..2000); pendulum noisy/lqr/high; per-epoch uncertainty maps via _uncertainty_maps (--level high --arms i100_*)
fm_cpstoch_s020_dir00_v2_s43,2026-08-14T19:09:15,cartpole_stoch,sigma_020.0,dir00_v2_s43,fm,dir00,0.0,42,5,20,ilab,208677,launched,14,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_dir00_v2_s43,
fm_cpstoch_s020_dir00_v2_s44,2026-08-14T18:27:29,cartpole_stoch,sigma_020.0,dir00_v2_s44,fm,dir00,0.0,42,5,20,ilab,208676,launched,16,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_dir00_v2_s44,
fm_cpstoch_s020_dir00_v2_s43,2026-08-14T18:27:28,cartpole_stoch,sigma_020.0,dir00_v2_s43,fm,dir00,0.0,42,5,20,ilab,208675,FAILED,14,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_dir00_v2_s43,"uncorrectable ECC on ilab3, died in 19s; relaunched as 208677 with --exclude=ilab3"
fm_cpstoch_s020_dir00_v2,2026-08-14T18:11:23,cartpole_stoch,sigma_020.0,dir00_v2,fm,dir00,0.0,42,5,20,ilab,208674,launched,14,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_dir00_v2,
fm_cpstoch_s020_total_greedy,2026-08-14T10:10:44,cartpole_stoch,sigma_020.0,total_greedy,fm,total,1.0,42,5,20,ilab,208573,launched,14,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_total_greedy,
fm_cpstoch_s020_epi_bald_greedy,2026-08-14T10:10:43,cartpole_stoch,sigma_020.0,epi_bald_greedy,fm,epi_bald,1.0,42,5,20,ilab,208571,launched,15,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_epi_bald_greedy,
fm_cpstoch_s020_epi_var_greedy,2026-08-14T10:10:43,cartpole_stoch,sigma_020.0,epi_var_greedy,fm,epi_var,1.0,42,5,20,ilab,208572,launched,15,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_epi_var_greedy,
fm_cpstoch_s020_total_greedy,2026-08-14T10:07:28,cartpole_stoch,sigma_020.0,total_greedy,fm,total,1.0,42,5,20,ilab,208567,launched,14,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_total_greedy,
fm_cpstoch_s020_epi_bald_greedy,2026-08-14T10:07:27,cartpole_stoch,sigma_020.0,epi_bald_greedy,fm,epi_bald,1.0,42,5,20,ilab,208565,launched,15,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_epi_bald_greedy,
fm_cpstoch_s020_epi_var_greedy,2026-08-14T10:07:27,cartpole_stoch,sigma_020.0,epi_var_greedy,fm,epi_var,1.0,42,5,20,ilab,208566,launched,15,local,9b1460758b92,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_epi_var_greedy,
fm_cpstoch_s020_epi_var,2026-08-12T12:12:14,cartpole_stoch,sigma_020.0,epi_var,fm,epi_var,1.0,42,5,20,ilab,207081,stopped_by_user,12,local,f9f7afdac53c,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_epi_var,scancelled 2026-08-13 at 12/19; resumable via scripts/resume_adaptive.py
fm_cpstoch_s020_total,2026-08-12T12:12:14,cartpole_stoch,sigma_020.0,total,fm,total,1.0,42,5,20,ilab,207082,stopped_by_user,12,local,f9f7afdac53c,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_total,scancelled 2026-08-13 at 12/19; resumable via scripts/resume_adaptive.py
fm_cpstoch_s020_epi_bald,2026-08-12T12:12:13,cartpole_stoch,sigma_020.0,epi_bald,fm,epi_bald,1.0,42,5,20,ilab,207080,stopped_by_user,12,local,f9f7afdac53c,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_epi_bald,scancelled 2026-08-13 at 12/19; resumable via scripts/resume_adaptive.py
fm_low_dir00_s43,2026-08-12T11:43:54,pendulum_stoch,low,dir00,fm,dir00,0.0,42,5,20,amarel,60471979,paused_by_user,13,local,f9f7afdac53c,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_low_dir00_s43,scancelled 2026-08-12 for pause; resume with scripts/resume_adaptive.py
fm_low_total,2026-08-12T11:43:54,pendulum_stoch,low,total,fm,total,1.0,42,5,20,amarel,60472045,paused_by_user,15,local,f9f7afdac53c,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_low_total,scancelled 2026-08-12 for pause; resume with scripts/resume_adaptive.py
fm_med_total,2026-08-12T11:43:54,pendulum_stoch,med,total,fm,total,1.0,42,5,20,amarel,60472126,paused_by_user,13,local,f9f7afdac53c,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_med_total,scancelled 2026-08-12 for pause; resume with scripts/resume_adaptive.py
fm_cpstoch_s020_dir00_s44,2026-08-10T17:35:38,cartpole_stoch,sigma_020.0,dir00,fm,dir00,0.0,42,5,20,ilab,205997,RUNNING,19,local,f9f7afdac53c,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_dir00_s44,
fm_cpstoch_s020_dir00_s43,2026-08-10T17:35:36,cartpole_stoch,sigma_020.0,dir00,fm,dir00,0.0,42,5,20,ilab,205996,RUNNING,19,local,f9f7afdac53c,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_dir00_s43,
fm_cpstoch_s020_dir00,2026-08-10T17:35:35,cartpole_stoch,sigma_020.0,dir00,fm,dir00,0.0,42,5,20,ilab,205995,RUNNING,19,local,f9f7afdac53c,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_dir00,
fm_cpstoch_s020_smoke,2026-08-10T15:43:36,cartpole_stoch,sigma_020.0,epi_var,fm,epi_var,1.0,42,5,20,ilab,205952,COMPLETED,2,local,f9f7afdac53c,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_smoke,
fm_cpstoch_s020_smoke,2026-08-10T14:32:56,cartpole_pybullet,sigma_020.0,epi_var,fm,decomp_epi_var,1.0,42,5,20,ilab,205743,FAILED,2,local,7d95b52929c1,/common/users/shared/pracsys/adaptive_roa_experiments/ensemble_epistemic/fm_cpstoch_s020_smoke,"CARTPOLE SMOKE TEST (n_epochs=2, not 19) validating the new configs/adaptive_v2/system/cartpole_stoch.yaml end to end before committing a 5x5 grid. Pre-flight verified: all 6 data paths resolve; train.npz has pendulum's key layout with 4-D states (100k rollouts); eval_success_prob.npz has starts/successes/trials/p_success -- the only four arrays stoch_prob_metrics.py reads, and it matches via cKDTree so it is dimension-agnostic. mem=120G not 60G, applying the OOM finding from fm_low_dir00 the same day. NOISE AXIS WARNING recorded in the config: cartpole uses sigma dirs, sigma_000.0 is zero-noise = the analogue of det, NOT of low."
fm_low_dir00,2026-08-10T12:33:46,pendulum_stoch,low,dir00,fm,dir00,0.0,42,5,20,amarel,60338262,paused_by_user,,remote,7d95b52929c1,/scratch/st1122/adaptive_roa/experiments/ensemble_epistemic/fm_low_dir00,"RESUMED from epoch 13 after HOST OUT_OF_MEMORY (exit 0:125), a NEW failure mode for this campaign -- not preemption, not walltime. MaxRSS 54.87G against ReqMem 60G, i.e. it grew into the ceiling rather than spiking: FM host memory scales with the accumulated dataset, so the deepest runs hit it first and every long run is exposed as it approaches epoch ~13-15. Resumed at mem=120G. 13 epochs verified clean (0 inversions) and preserved at _preserved_fm_low_dir00_oom_0810. NOTE: fm_low_dir00 is BOTH the control every low arm is scored against AND the low floor anchor, so its loss would have frozen the level whose verdict moved between passes. | scancelled 2026-08-12 for pause; resume with scripts/resume_adaptive.py"
fm_low_dir00_s43,2026-08-10T10:33:28,pendulum_stoch,low,dir00,fm,dir00,0.0,43,5,20,amarel,RESUME_0810,launched,,remote,7d95b52929c1,/scratch/st1122/adaptive_roa/experiments/ensemble_epistemic/fm_low_dir00_s43,"RESUMED after PREEMPTION 2026-08-10T08:57 (neither requeued; caught same cycle by the squeue-membership check). Both clean (0 mtime inversions), preserved under _preserved_*_preempt_0810. fm_low_dir00_s43 is a FLOOR SEED for the level whose verdict moved between passes 1 and 2, so its depth directly controls whether that marginal -1.0x effect firms up or dissolves."
fm_med_aleat,2026-08-10T10:33:28,pendulum_stoch,med,aleat,fm,decomp_aleat,1.0,42,5,20,amarel,RESUME_0810,launched,,remote,7d95b52929c1,/scratch/st1122/adaptive_roa/experiments/ensemble_epistemic/fm_med_aleat,"RESUMED after PREEMPTION 2026-08-10T08:57 (neither requeued; caught same cycle by the squeue-membership check). Both clean (0 mtime inversions), preserved under _preserved_*_preempt_0810. fm_low_dir00_s43 is a FLOOR SEED for the level whose verdict moved between passes 1 and 2, so its depth directly controls whether that marginal -1.0x effect firms up or dissolves."
fm_xhigh_dir00_s43,2026-08-09T20:33:30,pendulum_stoch,xhigh,dir00,fm,dir00,0.0,43,5,20,amarel,60326767,OUT_OF_MEMORY,,remote,7d95b52929c1,/scratch/st1122/adaptive_roa/experiments/ensemble_epistemic/fm_xhigh_dir00_s43,"RESUMED after 3-day walltime TIMEOUT (not preemption, not a fault -- these ran their full --time=3-00:00:00 and stopped cleanly). Both xhigh floor seeds hit the wall: s43 at 9 epochs, s44 at 12, both with 0 mtime inversions. TIMEOUT data is final and safe to score as-is, which is why the xhigh verdict computed 2026-08-09 on 7 shared epochs stands. Resumed to deepen the floor further, since s43 is the binding constraint on that level's shared window. | resumed_after_oom job=60444979 gpu=2 mem=120G"
fm_xhigh_dir00_s44,2026-08-09T20:33:30,pendulum_stoch,xhigh,dir00,fm,dir00,0.0,44,5,20,amarel,60326768,PREEMPTED,,remote,7d95b52929c1,/scratch/st1122/adaptive_roa/experiments/ensemble_epistemic/fm_xhigh_dir00_s44,"RESUMED after 3-day walltime TIMEOUT (not preemption, not a fault -- these ran their full --time=3-00:00:00 and stopped cleanly). Both xhigh floor seeds hit the wall: s43 at 9 epochs, s44 at 12, both with 0 mtime inversions. TIMEOUT data is final and safe to score as-is, which is why the xhigh verdict computed 2026-08-09 on 7 shared epochs stands. Resumed to deepen the floor further, since s43 is the binding constraint on that level's shared window. | resumed_after_preempt job=60426690 gpu=2 mem=120G"
fm_det_dir00,2026-08-09T08:33:56,pendulum,det,dir00,fm,dir00,0.0,42,5,20,amarel,60305874,PREEMPTED,,remote,7d95b52929c1,/scratch/st1122/adaptive_roa/experiments/ensemble_epistemic/fm_det_dir00,"RESUMED after PREEMPTION WAVE at 2026-08-09T08:02 (Amarel 'general' account, 4 jobs at once, none requeued). Caught within one cycle by the squeue-membership liveness check added after the det_dir00_s43 miss -- epoch counts alone would have shown these as merely slow. All four verified clean (0 mtime inversions) and preserved under _preserved_*_preempt_0809b before resubmitting. | resumed_after_preempt job=60423858 gpu=2 mem=120G (prev gpu:4 ran 5min)"
fm_det_total,2026-08-09T08:33:56,pendulum,det,total,fm,decomp_total,1.0,42,5,20,amarel,60305875,COMPLETED,,remote,7d95b52929c1,/scratch/st1122/adaptive_roa/experiments/ensemble_epistemic/fm_det_total,"RESUMED after PREEMPTION WAVE at 2026-08-09T08:02 (Amarel 'general' account, 4 jobs at once, none requeued). Caught within one cycle by the squeue-membership liveness check added after the det_dir00_s43 miss -- epoch counts alone would have shown these as merely slow. All four verified clean (0 mtime inversions) and preserved under _preserved_*_preempt_0809b before resubmitting."
fm_med_dir00_s43,2026-08-09T08:33:56,pendulum_stoch,med,dir00,fm,dir00,0.0,43,5,20,amarel,60305876,paused_by_user,,remote,7d95b52929c1,/scratch/st1122/adaptive_roa/experiments/ensemble_epistemic/fm_med_dir00_s43,"RESUMED after PREEMPTION WAVE at 2026-08-09T08:02 (Amarel 'general' account, 4 jobs at once, none requeued). Caught within one cycle by the squeue-membership liveness check added after the det_dir00_s43 miss -- epoch counts alone would have shown these as merely slow. All four verified clean (0 mtime inversions) and preserved under _preserved_*_preempt_0809b before resubmitting. | scancelled 2026-08-12 for pause; resume with scripts/resume_adaptive.py"
fm_med_epi_bald,2026-08-09T08:33:56,pendulum_stoch,med,epi_bald,fm,decomp_epi_bald,1.0,42,5,20,amarel,60305877,paused_by_user,,remote,7d95b52929c1,/scratch/st1122/adaptive_roa/experiments/ensemble_epistemic/fm_med_epi_bald,"RESUMED after PREEMPTION WAVE at 2026-08-09T08:02 (Amarel 'general' account, 4 jobs at once, none requeued). Caught within one cycle by the squeue-membership liveness check added after the det_dir00_s43 miss -- epoch counts alone would have shown these as merely slow. All four verified clean (0 mtime inversions) and preserved under _preserved_*_preempt_0809b before resubmitting. | scancelled 2026-08-12 for pause; resume with scripts/resume_adaptive.py"
